date,close,volume,open,high,low
19-05-2017,153.06,26892850,153.38,153.98,152.63
18-05-2017,152.54,33520150,151.27,153.34,151.13
17-05-2017,150.25,50674280,153.6,154.57,149.71
16-05-2017,155.47,19994270,155.94,156.06,154.72
15-05-2017,155.7,25912270,156.01,156.65,155.05
